함수명,설명
??0GxAxis@@QAE@HH@Z,GxAxis 클래스의 생성자. 두 개의 정수 매개변수를 받아 객체를 초기화합니다.
??0GxChannel@@QAE@HH@Z,GxChannel 클래스의 생성자. 두 개의 정수 매개변수를 받아 객체를 초기화합니다.
??0GxSystem@@QAE@H@Z,GxSystem 클래스의 생성자. 하나의 정수 매개변수를 받아 객체를 초기화합니다.
??0Hx20Axis@@QAE@HH@Z,Hx20Axis 클래스의 생성자. 두 개의 정수 매개변수를 받아 객체를 초기화합니다.
??0Hx20Channel@@QAE@HH@Z,Hx20Channel 클래스의 생성자. 두 개의 정수 매개변수를 받아 객체를 초기화합니다.
??0Hx20System@@QAE@H@Z,Hx20System 클래스의 생성자. 하나의 정수 매개변수를 받아 객체를 초기화합니다.
??4GxAxis@@QAEAAV0@ABV0@@Z,GxAxis 클래스의 대입 연산자. 다른 GxAxis 객체로부터 값을 복사합니다.
??4GxChannel@@QAEAAV0@ABV0@@Z,GxChannel 클래스의 대입 연산자. 다른 GxChannel 객체로부터 값을 복사합니다.
??4GxSystem@@QAEAAV0@ABV0@@Z,GxSystem 클래스의 대입 연산자. 다른 GxSystem 객체로부터 값을 복사합니다.
??4Hx20Axis@@QAEAAV0@ABV0@@Z,Hx20Axis 클래스의 대입 연산자. 다른 Hx20Axis 객체로부터 값을 복사합니다.
??4Hx20Channel@@QAEAAV0@ABV0@@Z,Hx20Channel 클래스의 대입 연산자. 다른 Hx20Channel 객체로부터 값을 복사합니다.
??4Hx20System@@QAEAAV0@ABV0@@Z,Hx20System 클래스의 대입 연산자. 다른 Hx20System 객체로부터 값을 복사합니다.
?AllStopAxis_byAlarm@GxSystem@@QAEHXZ,GxSystem에서 모든 축을 알람에 의해 정지시킵니다.
?AllStopAxis_byAlarm@GxSystem@@QAEXH@Z,GxSystem에서 특정 축을 알람에 의해 정지시킵니다.
?CommandUnit@GxSystem@@QAEHXZ,GxSystem에서 명령 단위를 가져옵니다.
?CommandUnit@GxSystem@@QAEXH@Z,GxSystem에서 명령 단위를 설정합니다.
?Connect@Hx20System@@QAEHPBDH@Z,Hx20System에 연결합니다. 문자열과 정수 매개변수를 사용합니다.
?Data@GxSystem@@QAEHH@Z,GxSystem에서 데이터를 가져옵니다.
?Data@GxSystem@@QAEXHH@Z,GxSystem에서 데이터를 설정합니다.
?EMG@GxChannel@@QAEHXZ,GxChannel에서 비상 정지(EMG) 상태를 가져옵니다.
?EMG@GxChannel@@QAEXH@Z,GxChannel에서 비상 정지(EMG) 상태를 설정합니다.
?EMG@GxSystem@@QAEHXZ,GxSystem에서 비상 정지(EMG) 상태를 가져옵니다.
?EMG@GxSystem@@QAEXH@Z,GxSystem에서 비상 정지(EMG) 상태를 설정합니다.
?FB@GxSystem@@QAEHHH@Z,GxSystem에서 피드백 데이터를 가져옵니다.
?FB@Hx20System@@QAEHHH@Z,Hx20System에서 피드백 데이터를 가져옵니다.
?FW@GxSystem@@QAEHH@Z,GxSystem에서 전방 데이터를 가져옵니다.
?FW@Hx20System@@QAEHH@Z,Hx20System에서 전방 데이터를 가져옵니다.
?FeedUnit@GxSystem@@QAEHXZ,GxSystem에서 피드 단위를 가져옵니다.
