함수명,설명
- ??0CEzBasic@@QAE@ABV0@@Z,CEzBasic 클래스의 복사 생성자입니다.
- ??0CEzObject@@QAE@ABV0@@Z,CEzObject 클래스의 복사 생성자입니다.
- ??0CEzObject@@QAE@XZ,CEzObject 클래스의 기본 생성자입니다.
- ??1CEzObject@@UAE@XZ,CEzObject 클래스의 소멸자입니다.
- ??4CEzBasic@@QAEAAV0@ABV0@@Z,CEzBasic 클래스의 대입 연산자입니다.
- ??4CEzObject@@QAEAAV0@ABV0@@Z,CEzObject 클래스의 대입 연산자입니다.
- ??_7CEzBasic@@6B@,CEzBasic 클래스의 가상 함수 테이블입니다.
- ??_7CEzObject@@6B@,CEzObject 클래스의 가상 함수 테이블입니다.
- ?GetLibraryType@CEzObject@@UAEFXZ,CEzObject 클래스에서 라이브러리 타입을 반환하는 함수입니다.
- AxaInfoGetChannelNoAdcOfModuleNo,특정 모듈 번호에 대한 ADC 채널 번호를 가져오는 함수입니다.
- AxaInfoGetChannelNoDacOfModuleNo,특정 모듈 번호에 대한 DAC 채널 번호를 가져오는 함수입니다.
- AxaInfoGetChannelNoOfModuleNo,특정 모듈 번호에 대한 채널 번호를 가져오는 함수입니다.
- AxaInfoGetFirmwareVersion,펌웨어 버전을 가져오는 함수입니다.
- AxaInfoGetInputCount,입력 개수를 가져오는 함수입니다.
- AxaInfoGetModule,모듈 정보를 가져오는 함수입니다.
- AxaInfoGetModuleCount,모듈 개수를 가져오는 함수입니다.
- AxaInfoGetModuleNo,모듈 번호를 가져오는 함수입니다.
- AxaInfoGetModuleStatus,모듈 상태를 가져오는 함수입니다.
- AxaInfoGetOutputCount,출력 개수를 가져오는 함수입니다.
- AxaInfoIsAIOModule,AIO 모듈인지 여부를 확인하는 함수입니다.
- AxaPgSetUserDataReset,사용자 데이터 리셋을 설정하는 함수입니다.
- AxaSetAndGetSlaveCmdResult,슬레이브 명령 결과를 설정하고 가져오는 함수입니다.
- AxaSetSendNetWorkCommand,네트워크 명령을 전송하는 함수입니다.
- AxaiEventGetChannelEnable,이벤트 채널 활성화 상태를 가져오는 함수입니다.
- AxaiEventGetChannelMask,이벤트 채널 마스크를 가져오는 함수입니다.
- AxaiEventRead,이벤트를 읽는 함수입니다.
- AxaiEventSetChannel,이벤트 채널을 설정하는 함수입니다.
- AxaiEventSetChannelEnable,이벤트 채널 활성화를 설정하는 함수입니다.
- AxaiEventSetChannelMask,이벤트 채널 마스크를 설정하는 함수입니다.
- AxaiEventSetMultiChannelEnable,다중 채널 활성화를 설정하는 함수입니다.
- AxaiEventSetMultiChannelMask,다중 채널 마스크를 설정하는 함수입니다.
- AxaiExternalReadFifoStatus,외부 FIFO 상태를 읽는 함수입니다.
- AxaiExternalReadVoltage,외부 전압을 읽는 함수입니다.
- AxaiExternalStartADC,외부 ADC를 시작하는 함수입니다.
- AxaiExternalStopADC,외부 ADC를 중지하는 함수입니다.
- AxaiGetModuleOffsetValue,모듈 오프셋 값을 가져오는 함수입니다.
- AxaiGetRange,범위를 가져오는 함수입니다.
- AxaiGetRangeModule,모듈의 범위를 가져오는 함수입니다.
- AxaiGetTriggerMode,트리거 모드를 가져오는 함수입니다.
- AxaiHwGetBufferOverflowMode,하드웨어 버퍼 오버플로 모드를 가져오는 함수입니다.
- AxaiHwGetLimit,하드웨어 제한을 가져오는 함수입니다.
- AxaiHwGetSampleFreq,샘플 주파수를 가져오는 함수입니다.
- AxaiHwGetSamplePeriod,샘플 주기를 가져오는 함수입니다.
- AxaiHwIsBufferEmpty,버퍼가 비어 있는지 확인하는 함수입니다.
- AxaiHwIsBufferLower,버퍼가 하한에 있는지 확인하는 함수입니다.
- AxaiHwIsBufferUpper,버퍼가 상한에 있는지 확인하는 함수입니다.
- AxaiHwReadDataLength,데이터 길이를 읽는 함수입니다.
- AxaiHwReadSampleDigit,샘플 디지털 값을 읽는 함수입니다.
- AxaiHwReadSampleVoltage,샘플 전압을 읽는 함수입니다.
- AxaiHwSetBufferOverflowMode,하드웨어 버퍼 오버플로 모드를 설정하는 함수입니다.
- AxaiHwSetLimit,하드웨어 제한을 설정하는 함수입니다.
- AxaiHwSetMultiAccess,다중 접근을 설정하는 함수입니다.
- AxaiHwSetMultiBufferOverflowMode,다중 버퍼 오버플로 모드를 설정하는 함수입니다.
- AxaiHwSetMultiLimit,다중 제한을 설정하는 함수입니다.
- AxaiHwSetSampleFreq,샘플 주파수를 설정하는 함수입니다.
- AxaiHwSetSamplePeriod,샘플 주기를 설정하는 함수입니다.
- AxaiHwStartMultiAccess,다중 접근을 시작하는 함수입니다.
- AxaiHwStartMultiChannel,다중 채널을 시작하는 함수입니다.
- AxaiHwStartMultiFilter,다중 필터를 시작하는 함수입니다.
- AxaiHwStartSingleChannelAdc,단일 채널 ADC를 시작하는 함수입니다.
- AxaiHwStopMultiChannel,다중 채널을 중지하는 함수입니다.
- AxaiHwStopSingleChannelAdc,단일 채널 ADC를 중지하는 함수입니다.
- AxaiInfoGetChannelCount,채널 개수를 가져오는 함수입니다.
- AxaiInfoGetModuleNoOfChannelNo,채널 번호에 대한 모듈 번호를 가져오는 함수입니다.
- AxaiInterruptGetModuleMask,모듈 마스크를 가져오는 함수입니다.
- AxaiInterruptSetModuleMask,모듈 마스크를 설정하는 함수입니다.
