함수명,설명
??0CEzBasic@@QAE@ABV0@@Z,CEzBasic 클래스의 복사 생성자입니다.
??0CEzBasic@@QAE@XZ,CEzBasic 클래스의 기본 생성자입니다.
??0CEzObject@@QAE@ABV0@@Z,CEzObject 클래스의 복사 생성자입니다.
??0CEzObject@@QAE@XZ,CEzObject 클래스의 기본 생성자입니다.
??1CEzBasic@@UAE@XZ,CEzBasic 클래스의 소멸자입니다.
??1CEzObject@@UAE@XZ,CEzObject 클래스의 소멸자입니다.
??4CEzBasic@@QAEAAV0@ABV0@@Z,CEzBasic 클래스의 대입 연산자입니다.
??4CEzObject@@QAEAAV0@ABV0@@Z,CEzObject 클래스의 대입 연산자입니다.
??_7CEzBasic@@6B@,CEzBasic 클래스의 가상 함수 테이블입니다.
??_7CEzObject@@6B@,CEzObject 클래스의 가상 함수 테이블입니다.
?Close@CEzBasic@@QAEXXZ,CEzBasic 객체를 닫습니다.
?DisableInterrupt@CEzBasic@@QAEXF@Z,인터럽트를 비활성화합니다.
?EepromGetBaseAddress@CEzBasic@@QAEKXZ,EEPROM의 기본 주소를 가져옵니다.
?EepromGetLength@CEzBasic@@QAEFXZ,EEPROM의 길이를 가져옵니다.
?EepromGetLengthWord@CEzBasic@@QAEFXZ,EEPROM의 길이를 워드 단위로 가져옵니다.
?EepromInit@CEzBasic@@QAEEK@Z,EEPROM을 초기화합니다.
?EepromIsInit@CEzBasic@@QAEEXZ,EEPROM이 초기화되었는지 확인합니다.
?EepromRead@CEzBasic@@QAEEE@Z,EEPROM에서 데이터를 읽습니다.
?EepromReadWord@CEzBasic@@QAEGE@Z,EEPROM에서 워드 데이터를 읽습니다.
?EepromWrite@CEzBasic@@QAEEEE@Z,EEPROM에 데이터를 씁니다.
?EepromWriteWord@CEzBasic@@QAEEEG@Z,EEPROM에 워드 데이터를 씁니다.
?Eeprom_delay@CEzBasic@@IAEXF@Z,EEPROM 작업에 대한 지연을 처리합니다.
?Eeprom_ewds@CEzBasic@@IAEXXZ,EEPROM 쓰기 비활성화 명령을 실행합니다.
?Eeprom_ewen@CEzBasic@@IAEXXZ,EEPROM 쓰기 활성화 명령을 실행합니다.
?Eeprom_get_cs@CEzBasic@@IAEEXZ,EEPROM의 칩 선택 상태를 가져옵니다.
?Eeprom_get_di@CEzBasic@@IAEEXZ,EEPROM의 데이터 입력 상태를 가져옵니다.
