2025-08-27, 09:00:00.00, SYSTEM,Startup,True
2025-08-27, 09:00:01.00, SYSTEM,Initialization,Complete
2025-08-27, 09:00:02.00, NC_CS5AXIS,Status,Ready
2025-08-27, 09:00:03.00, CAMERA,Status,Connected
2025-08-27, 09:00:04.00, LASER,Status,Standby
2025-08-27, 10:47:58.57, NC_CS5AXIS,IsRunning,True
2025-08-27, 10:48:28.56, NC_CS5AXIS,IsRunning,False
2025-08-27, 10:54:41.66, NC_CS5AXIS,IsRunning,True
2025-08-27, 10:55:00.28, NC_CS5AXIS,IsRunning,False
2025-08-27, 11:16:55.43, NC_CS5AXIS,IsRunning,True
2025-08-27, 11:17:13.61, NC_CS5AXIS,IsRunning,False
