함수명,설명
cvCreateVideoWriter_FFMPEG,비디오 파일을 작성하기 위한 비디오 작성기를 생성하는 함수입니다.
cvGetCaptureProperty_FFMPEG,비디오 캡처 객체에서 특정 속성의 값을 가져오는 함수입니다.
cvGrabFrame_FFMPEG,비디오 스트림에서 다음 프레임을 캡처하는 함수입니다.
cvReleaseCapture_FFMPEG,비디오 캡처 객체를 해제하여 관련된 리소스를 반환하는 함수입니다.
cvReleaseVideoWriter_FFMPEG,비디오 작성기를 해제하여 관련된 리소스를 반환하는 함수입니다.
cvRetrieveFrame_FFMPEG,"캡처된 프레임을 가져오는 함수로, cvGrabFrame_FFMPEG 함수와 함께 사용됩니다."
cvSetCaptureProperty_FFMPEG,비디오 캡처 객체의 특정 속성을 설정하는 함수입니다.
cvWriteFrame_FFMPEG,비디오 작성기를 사용하여 비디오 파일에 프레임을 작성하는 함수입니다.
opencv_videoio_capture_plugin_init_v1,OpenCV 비디오 캡처 플러그인을 초기화하는 함수입니다.
opencv_videoio_writer_plugin_init_v1,OpenCV 비디오 작성기 플러그인을 초기화하는 함수입니다.
