함수명,설명
- ?ReadSPIWORD@@YAHPEAXKPEAG@Z,SPI 인터페이스를 통해 단어(WORD) 데이터를 읽습니다.
- ?StartCameraStatus@@YAHPEAXPEAU_CAMERA@@H@Z,카메라의 상태 모니터링을 시작합니다.
- ?WriteSPIWORD@@YAHPEAXKG@Z,SPI 인터페이스를 통해 단어(WORD) 데이터를 씁니다.
- ?com_IsFrameComplete@@YAHPEAXPEAU_CAMERA@@@Z,프레임이 완전히 수신되었는지 확인합니다.
- ?com_IsSetModeComplete@@YAHPEAXPEAU_CAMERA@@@Z,카메라 모드 설정이 완료되었는지 확인합니다.
- ?com_RetrieveBitmapAdv@@YAHPEAXPEAU_CAMERA@@PEAUMMGETBITMAP@@PEAUMMGETBITMAPOPT@@@Z,고급 옵션을 사용하여 비트맵 이미지를 가져옵니다.
- ?com_RetrieveFrame@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAME@@@Z,카메라로부터 프레임을 가져옵니다.
- ?com_RetrieveFrameBayerEx@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAMEEX@@@Z,Bayer 형식의 확장 프레임을 가져옵니다.
- ?com_RetrieveFrameEx@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAMEEX@@@Z,확장된 프레임 데이터를 가져옵니다.
- ?com_RetrieveFramePlaneEx@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAMEEX@@K@Z,확장된 프레임 데이터를 특정 평면에서 가져옵니다.
- ?md_GetTemperatureEx@@YAHPEAXPEAM1@Z,확장된 온도 정보를 가져옵니다.
- ?md_GetTimestamp@@YAHPEAXPEAU_CAMERA@@PEAK2@Z,카메라의 타임스탬프를 가져옵니다.
- ?md_ParseProfileFFS@@YAHPEAXPEAD@Z,FFS 프로파일을 파싱합니다.
- ?md_RetrieveBitmapAdv@@YAHPEAXPEAU_CAMERA@@PEAUMMGETBITMAP@@PEAUMMGETBITMAPOPT@@@Z,고급 옵션을 사용하여 비트맵 이미지를 가져옵니다.
- ?mmDetectEEPROMsize1394@@YAHPEAX@Z,1394 인터페이스에서 EEPROM 크기를 감지합니다.
- ?mmDetectEEPROMsizePCIE@@YAHPEAX@Z,PCIe 인터페이스에서 EEPROM 크기를 감지합니다.
- ?mmDetectEEPROMsizeUSB20@@YAHPEAX@Z,USB 2.0 인터페이스에서 EEPROM 크기를 감지합니다.
- ?mmDetectEEPROMsizeUSB30@@YAHPEAX@Z,USB 3.0 인터페이스에서 EEPROM 크기를 감지합니다.
- ?mmEraseEEPROM1394@@YAHPEAXKK@Z,1394 인터페이스에서 EEPROM을 지웁니다.
- ?mmEraseEEPROMPCIE@@YAHPEAXKK@Z,PCIe 인터페이스에서 EEPROM을 지웁니다.
- ?mmEraseEEPROMUSB30@@YAHPEAXKK@Z,USB 3.0 인터페이스에서 EEPROM을 지웁니다.
- ?mmReadBlock1394@@YAHPEAXKK0@Z,1394 인터페이스에서 데이터 블록을 읽습니다.
- ?mmReadEEPROM1394@@YAHPEAXKKPEAE@Z,1394 인터페이스에서 EEPROM 데이터를 읽습니다.
- ?mmReadEEPROMPCIE@@YAHPEAXKKPEAE@Z,PCIe 인터페이스에서 EEPROM 데이터를 읽습니다.
- ?mmReadEEPROMUSB20@@YAHPEAXKKPEAE@Z,USB 2.0 인터페이스에서 EEPROM 데이터를 읽습니다.
- ?mmReadEEPROMUSB30@@YAHPEAXKKPEAE@Z,USB 3.0 인터페이스에서 EEPROM 데이터를 읽습니다.
