함수명,설명
- ??0CKMotionDLL@@QAE@H@Z,CKMotionDLL 클래스의 생성자입니다. 초기화 작업을 수행합니다.
- ??0CKMotionDLL_Direct@@QAE@XZ,CKMotionDLL_Direct 클래스의 생성자입니다. 초기화 작업을 수행합니다.
- ??1CKMotionDLL@@UAE@XZ,CKMotionDLL 클래스의 소멸자입니다. 자원을 해제합니다.
- ??4CKMotionDLL_Direct@@QAEAAV0@$$QAV0@@Z,CKMotionDLL_Direct 객체를 다른 객체로 이동 대입하는 연산자입니다.
- ??4CKMotionDLL_Direct@@QAEAAV0@ABV0@@Z,CKMotionDLL_Direct 객체를 다른 객체로 복사 대입하는 연산자입니다.
- ??_7CKMotionDLL@@6B@,CKMotionDLL 클래스의 가상 함수 테이블을 나타냅니다.
- ?CheckCoffSize@CKMotionDLL@@QAEHPBDPAH111@Z,COFF 파일의 크기를 확인합니다.
- ?CheckForReady@CKMotionDLL@@QAEHXZ,CKMotionDLL이 준비 상태인지 확인합니다.
- ?CheckForReady@CKMotionDLL_Direct@@QAEHH@Z,CKMotionDLL_Direct가 준비 상태인지 확인합니다.
- ?CheckKMotionVersion@CKMotionDLL@@QAEHPAH_N@Z,KMotion의 버전을 확인합니다.
- ?ClearErrMsg@CKMotionDLL_Direct@@QAEXH@Z,CKMotionDLL_Direct의 오류 메시지를 지웁니다.
- ?Compile@CKMotionDLL@@QAEHPBD0HHPADH@Z,코드를 컴파일합니다.
- ?CompileAndLoadCoff@CKMotionDLL@@QAEHPBDH@Z,COFF 파일을 컴파일하고 로드합니다.
- ?CompileAndLoadCoff@CKMotionDLL@@QAEHPBDHPADH@Z,COFF 파일을 컴파일하고 로드하며 추가 정보를 제공합니다.
- ?ConvertToOut@CKMotionDLL@@QAEXHPBDPADH@Z,데이터를 출력 형식으로 변환합니다.
- ?Disconnect@CKMotionDLL@@QAEHXZ,CKMotionDLL의 연결을 해제합니다.
- ?Disconnect@CKMotionDLL_Direct@@QAEHH@Z,CKMotionDLL_Direct의 연결을 해제합니다.
- ?DoErrMsg@CKMotionDLL@@QAEXPBD@Z,오류 메시지를 처리합니다.
- ?ExtractCoffVersionString@CKMotionDLL@@QAEHPBDPAD@Z,COFF 파일의 버전 문자열을 추출합니다.
- ?ExtractPath@CKMotionDLL@@AAE?AV?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@V23@@Z,경로를 추출합니다.
- ?Failed@CKMotionDLL@@QAEHXZ,CKMotionDLL의 작업 실패 여부를 확인합니다.
- ?Failed@CKMotionDLL_Direct@@QAEHH@Z,CKMotionDLL_Direct의 작업 실패 여부를 확인합니다.
- ?FirmwareVersion@CKMotionDLL@@QAEHXZ,펌웨어 버전을 확인합니다.
