함수명,설명
- ??0?$QList@VQItemSelectionRange@@@@QAE@$$QAV0@@Z,QItemSelectionRange 객체를 복사하여 QList를 생성하는 생성자입니다.
- ??0?$QList@VQItemSelectionRange@@@@QAE@ABV0@@Z,기존 QList<QItemSelectionRange> 객체를 복사하여 새로운 QList를 생성하는 생성자입니다.
- ??0?$QList@VQItemSelectionRange@@@@QAE@XZ,"기본 생성자로, 빈 QList<QItemSelectionRange> 객체를 생성합니다."
- ??0?$QVector@VQPoint@@@@QAE@$$QAV0@@Z,QPoint 객체를 복사하여 QVector를 생성하는 생성자입니다.
- ??0?$QVector@VQPoint@@@@QAE@ABV0@@Z,기존 QVector<QPoint> 객체를 복사하여 새로운 QVector를 생성하는 생성자입니다.
- ??0?$QVector@VQPoint@@@@QAE@H@Z,주어진 크기만큼의 QVector<QPoint>를 생성하는 생성자입니다.
- ??0?$QVector@VQPoint@@@@QAE@HABVQPoint@@@Z,주어진 크기와 초기값으로 QVector<QPoint>를 생성하는 생성자입니다.
- ??0?$QVector@VQPoint@@@@QAE@XZ,"기본 생성자로, 빈 QVector<QPoint> 객체를 생성합니다."
- ??0?$QVector@VQPointF@@@@QAE@$$QAV0@@Z,QPointF 객체를 복사하여 QVector를 생성하는 생성자입니다.
- ??0?$QVector@VQPointF@@@@QAE@ABV0@@Z,기존 QVector<QPointF> 객체를 복사하여 새로운 QVector를 생성하는 생성자입니다.
- ??0?$QVector@VQPointF@@@@QAE@H@Z,주어진 크기만큼의 QVector<QPointF>를 생성하는 생성자입니다.
- ??0?$QVector@VQPointF@@@@QAE@HABVQPointF@@@Z,주어진 크기와 초기값으로 QVector<QPointF>를 생성하는 생성자입니다.
- ??0?$QVector@VQPointF@@@@QAE@XZ,"기본 생성자로, 빈 QVector<QPointF> 객체를 생성합니다."
- ??0?$QVector@VQXmlStreamAttribute@@@@QAE@$$QAV0@@Z,QXmlStreamAttribute 객체를 복사하여 QVector를 생성하는 생성자입니다.
- ??0?$QVector@VQXmlStreamAttribute@@@@QAE@ABV0@@Z,기존 QVector<QXmlStreamAttribute> 객체를 복사하여 새로운 QVector를 생성하는 생성자입니다.
- ??0?$QVector@VQXmlStreamAttribute@@@@QAE@H@Z,주어진 크기만큼의 QVector<QXmlStreamAttribute>를 생성하는 생성자입니다.
- ??0?$QVector@VQXmlStreamAttribute@@@@QAE@HABVQXmlStreamAttribute@@@Z,주어진 크기와 초기값으로 QVector<QXmlStreamAttribute>를 생성하는 생성자입니다.
- ??0?$QVector@VQXmlStreamAttribute@@@@QAE@XZ,"기본 생성자로, 빈 QVector<QXmlStreamAttribute> 객체를 생성합니다."
- ??0Connection@QMetaObject@@AAE@PAX@Z,QMetaObject::Connection 객체를 포인터로 초기화하는 생성자입니다.
- ??0Connection@QMetaObject@@QAE@$$QAV01@@Z,QMetaObject::Connection 객체를 복사하여 생성하는 생성자입니다.
- ??0Connection@QMetaObject@@QAE@ABV01@@Z,기존 QMetaObject::Connection 객체를 복사하여 새로운 객체를 생성하는 생성자입니다.
- ??0Connection@QMetaObject@@QAE@XZ,"기본 생성자로, 빈 QMetaObject::Connection 객체를 생성합니다."
- ??0ConverterState@QTextCodec@@QAE@V?$QFlags@W4ConversionFlag@QTextCodec@@@@@Z,QTextCodec::ConverterState 객체를 QFlags<ConversionFlag>로 초기화하는 생성자입니다.
- ??0ExceptionHolder@QtPrivate@@QAE@ABV01@@Z,QtPrivate::ExceptionHolder 객체를 복사하여 생성하는 생성자입니다.
- ??0ExceptionHolder@QtPrivate@@QAE@PAVQException@@@Z,QException 객체를 포인터로 받아 QtPrivate::ExceptionHolder를 생성하는 생성자입니다.
- ??0ExceptionStore@QtPrivate@@QAE@ABV01@@Z,QtPrivate::ExceptionStore 객체를 복사하여 생성하는 생성자입니다.
- ??0ExceptionStore@QtPrivate@@QAE@XZ,"기본 생성자로, 빈 QtPrivate::ExceptionStore 객체를 생성합니다."
- ??0QAbstractAnimation@@IAE@AAVQAbstractAnimationPrivate@@PAVQObject@@@Z,QAbstractAnimation 객체를 QAbstractAnimationPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAbstractAnimation@@QAE@PAVQObject@@@Z,QObject 포인터로 QAbstractAnimation 객체를 초기화하는 생성자입니다.
- ??0QAbstractAnimationTimer@@QAE@XZ,"기본 생성자로, 빈 QAbstractAnimationTimer 객체를 생성합니다."
- ??0QAbstractDynamicMetaObject@@QAE@ABU0@@Z,QAbstractDynamicMetaObject 객체를 복사하여 생성하는 생성자입니다.
- ??0QAbstractDynamicMetaObject@@QAE@XZ,"기본 생성자로, 빈 QAbstractDynamicMetaObject 객체를 생성합니다."
- ??0QAbstractEventDispatcher@@IAE@AAVQAbstractEventDispatcherPrivate@@PAVQObject@@@Z,QAbstractEventDispatcher 객체를 QAbstractEventDispatcherPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAbstractEventDispatcher@@QAE@PAVQObject@@@Z,QObject 포인터로 QAbstractEventDispatcher 객체를 초기화하는 생성자입니다.
- ??0QAbstractEventDispatcherPrivate@@QAE@ABV0@@Z,QAbstractEventDispatcherPrivate 객체를 복사하여 생성하는 생성자입니다.
- ??0QAbstractEventDispatcherPrivate@@QAE@XZ,"기본 생성자로, 빈 QAbstractEventDispatcherPrivate 객체를 생성합니다."
- ??0QAbstractFileEngine@@IAE@AAVQAbstractFileEnginePrivate@@@Z,QAbstractFileEngine 객체를 QAbstractFileEnginePrivate로 초기화하는 생성자입니다.
- ??0QAbstractFileEngine@@IAE@XZ,"기본 생성자로, 빈 QAbstractFileEngine 객체를 생성합니다."
- ??0QAbstractFileEngineHandler@@QAE@ABV0@@Z,QAbstractFileEngineHandler 객체를 복사하여 생성하는 생성자입니다.
- ??0QAbstractFileEngineHandler@@QAE@XZ,"기본 생성자로, 빈 QAbstractFileEngineHandler 객체를 생성합니다."
- ??0QAbstractFileEngineIterator@@QAE@V?$QFlags@W4Filter@QDir@@@@ABVQStringList@@@Z,QFlags<Filter> 및 QStringList로 QAbstractFileEngineIterator 객체를 초기화하는 생성자입니다.
- ??0QAbstractItemModel@@IAE@AAVQAbstractItemModelPrivate@@PAVQObject@@@Z,QAbstractItemModel 객체를 QAbstractItemModelPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAbstractItemModel@@QAE@PAVQObject@@@Z,QObject 포인터로 QAbstractItemModel 객체를 초기화하는 생성자입니다.
- ??0QAbstractItemModelPrivate@@QAE@ABV0@@Z,QAbstractItemModelPrivate 객체를 복사하여 생성하는 생성자입니다.
- ??0QAbstractItemModelPrivate@@QAE@XZ,"기본 생성자로, 빈 QAbstractItemModelPrivate 객체를 생성합니다."
