함수명,설명
- ??0QAbstractNetworkCache@@IAE@AAVQAbstractNetworkCachePrivate@@PAVQObject@@@Z,"QAbstractNetworkCache 클래스의 생성자로, 네트워크 캐시의 기본 기능을 초기화합니다."
- ??0QAbstractNetworkCache@@IAE@PAVQObject@@@Z,"QAbstractNetworkCache 클래스의 생성자로, QObject를 기반으로 네트워크 캐시를 초기화합니다."
- ??0QAbstractSocket@@IAE@W4SocketType@0@AAVQAbstractSocketPrivate@@PAVQObject@@@Z,"QAbstractSocket 클래스의 생성자로, 소켓의 기본 기능을 초기화합니다."
- ??0QAbstractSocket@@QAE@W4SocketType@0@PAVQObject@@@Z,"QAbstractSocket 클래스의 생성자로, 특정 소켓 유형을 초기화합니다."
- ??0QAuthenticator@@QAE@ABV0@@Z,"QAuthenticator 클래스의 복사 생성자로, 인증 정보를 복사합니다."
- ??0QAuthenticator@@QAE@XZ,"QAuthenticator 클래스의 기본 생성자로, 인증 정보를 초기화합니다."
- ??0QBearerEngine@@QAE@PAVQObject@@@Z,"QBearerEngine 클래스의 생성자로, 네트워크 베어러 엔진을 초기화합니다."
- ??0QBearerEnginePlugin@@QAE@PAVQObject@@@Z,"QBearerEnginePlugin 클래스의 생성자로, 네트워크 베어러 엔진 플러그인을 초기화합니다."
- ??0QDnsDomainNameRecord@@QAE@ABV0@@Z,"QDnsDomainNameRecord 클래스의 복사 생성자로, DNS 도메인 이름 레코드를 복사합니다."
- ??0QDnsDomainNameRecord@@QAE@XZ,"QDnsDomainNameRecord 클래스의 기본 생성자로, DNS 도메인 이름 레코드를 초기화합니다."
- ??0QDnsHostAddressRecord@@QAE@ABV0@@Z,"QDnsHostAddressRecord 클래스의 복사 생성자로, DNS 호스트 주소 레코드를 복사합니다."
- ??0QDnsHostAddressRecord@@QAE@XZ,"QDnsHostAddressRecord 클래스의 기본 생성자로, DNS 호스트 주소 레코드를 초기화합니다."
- ??0QDnsLookup@@QAE@PAVQObject@@@Z,"QDnsLookup 클래스의 생성자로, DNS 조회를 초기화합니다."
- ??0QDnsLookup@@QAE@W4Type@0@ABVQString@@ABVQHostAddress@@PAVQObject@@@Z,"QDnsLookup 클래스의 생성자로, 특정 유형의 DNS 조회를 초기화합니다."
- ??0QDnsLookup@@QAE@W4Type@0@ABVQString@@PAVQObject@@@Z,"QDnsLookup 클래스의 생성자로, 특정 유형의 DNS 조회를 초기화합니다."
- ??0QDnsMailExchangeRecord@@QAE@ABV0@@Z,"QDnsMailExchangeRecord 클래스의 복사 생성자로, DNS 메일 교환 레코드를 복사합니다."
- ??0QDnsMailExchangeRecord@@QAE@XZ,"QDnsMailExchangeRecord 클래스의 기본 생성자로, DNS 메일 교환 레코드를 초기화합니다."
- ??0QDnsServiceRecord@@QAE@ABV0@@Z,"QDnsServiceRecord 클래스의 복사 생성자로, DNS 서비스 레코드를 복사합니다."
- ??0QDnsServiceRecord@@QAE@XZ,"QDnsServiceRecord 클래스의 기본 생성자로, DNS 서비스 레코드를 초기화합니다."
- ??0QDnsTextRecord@@QAE@ABV0@@Z,"QDnsTextRecord 클래스의 복사 생성자로, DNS 텍스트 레코드를 복사합니다."
- ??0QDnsTextRecord@@QAE@XZ,"QDnsTextRecord 클래스의 기본 생성자로, DNS 텍스트 레코드를 초기화합니다."
- ??0QHostAddress@@QAE@ABV0@@Z,"QHostAddress 클래스의 복사 생성자로, 호스트 주소를 복사합니다."
- ??0QHostAddress@@QAE@ABVQIPv6Address@@@Z,"QHostAddress 클래스의 생성자로, IPv6 주소를 초기화합니다."
- ??0QHostAddress@@QAE@ABVQString@@@Z,"QHostAddress 클래스의 생성자로, 문자열로부터 호스트 주소를 초기화합니다."
- ??0QHostAddress@@QAE@I@Z,"QHostAddress 클래스의 생성자로, 정수로부터 호스트 주소를 초기화합니다."
- ??0QHostAddress@@QAE@PAE@Z,"QHostAddress 클래스의 생성자로, 바이트 배열로부터 호스트 주소를 초기화합니다."
- ??0QHostAddress@@QAE@PBE@Z,"QHostAddress 클래스의 생성자로, 상수 바이트 배열로부터 호스트 주소를 초기화합니다."
- ??0QHostAddress@@QAE@PBUsockaddr@@@Z,"QHostAddress 클래스의 생성자로, sockaddr 구조체로부터 호스트 주소를 초기화합니다."
- ??0QHostAddress@@QAE@W4SpecialAddress@0@@Z,"QHostAddress 클래스의 생성자로, 특별한 주소 유형을 초기화합니다."
- ??0QHostAddress@@QAE@XZ,"QHostAddress 클래스의 기본 생성자로, 호스트 주소를 초기화합니다."
- ??0QHostInfo@@QAE@ABV0@@Z,"QHostInfo 클래스의 복사 생성자로, 호스트 정보를 복사합니다."
- ??0QHostInfo@@QAE@H@Z,"QHostInfo 클래스의 생성자로, 호스트 정보를 초기화합니다."
- ??0QHttpMultiPart@@QAE@PAVQObject@@@Z,"QHttpMultiPart 클래스의 생성자로, HTTP 멀티파트 요청을 초기화합니다."
- ??0QHttpMultiPart@@QAE@W4ContentType@0@PAVQObject@@@Z,"QHttpMultiPart 클래스의 생성자로, 특정 콘텐츠 유형의 HTTP 멀티파트 요청을 초기화합니다."
- ??0QHttpPart@@QAE@ABV0@@Z,"QHttpPart 클래스의 복사 생성자로, HTTP 파트를 복사합니다."
- ??0QHttpPart@@QAE@XZ,"QHttpPart 클래스의 기본 생성자로, HTTP 파트를 초기화합니다."
